dataset,method,n,n_noise,auc,p_at_10,random_p
clean,zscore_max,7786,0,,0.0,0.0
clean,zscore_mean,7786,0,,0.0,0.0
clean,iforest,7786,0,,0.0,0.0
confusable_wrong,zscore_max,7806,823,0.8550111022968643,0.46350832266325226,0.10543171919036638
confusable_wrong,zscore_mean,7806,823,0.879568311098869,0.4967989756722151,0.10543171919036638
confusable_wrong,iforest,7806,823,0.8658956337113792,0.49295774647887325,0.10543171919036638
refusal,zscore_max,7756,777,0.871604056515935,0.4806701030927835,0.10018050541516245
refusal,zscore_mean,7756,777,0.8694596383377011,0.4729381443298969,0.10018050541516245
refusal,iforest,7756,777,0.7985513812996261,0.2706185567010309,0.10018050541516245
wrong_answer,zscore_max,7883,904,0.6622890954785976,0.12055837563451777,0.1146771533680071
wrong_answer,zscore_mean,7883,904,0.8299337012301126,0.21446700507614214,0.1146771533680071
wrong_answer,iforest,7883,904,0.7840194096829045,0.1751269035532995,0.1146771533680071
